Item #,Quantity On Hand,Item,Item Description,Color,Size,Team,Division Logo,Date of Last Use,Category,Image,,
CUP1270,3,"POLO, MEN'S","XL, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,XL,,,11/4/13,Donations,,,
CUP1272,9,"POLO, LADIES","SM, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,SM,,,9/5/13,Donations,,,
CUP1273,4,"POLO, LADIES","MD, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,MD,,,9/5/13,Donations,,,
CUP1274,12,"POLO, LADIES","LG, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,LG,,,8/23/13,Donations,,,
CUP1275,9,"POLO, LADIES","XL, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",WHITE,XL,,,8/23/13,Donations,,,
CUP1276,120,UMBRELLA,"BLACK/WHITE, GUSTBUSTER, FEDEX CUP/PGA",BLACK/WHITE,,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/855.jpg,,
CUP1278,"1,318",BADGE HOLDER,"4" X 3", WITH SLIT""" X 3", WITH SLI"" X 3", WITH SLI""X 3", WITH"" 3", W""3","""""",,"4" X 3"""" X 3"" X 3",,,6/19/12,Credentials,Untitled_files/fullsize/144.jpg,,
CUP1287,5,"STAFF ZR RAIN PANTS, LADIES","LG, BLACK, ZERO RESTRICTIONS",BLACK,LG,,,9/9/13,Staff Apparel,,,
CUP1288,4,"STAFF ZR RAIN PANTS, LADIES","XL, BLACK, ZERO RESTRICTIONS",BLACK,XL,,,6/30/08,Staff Apparel,,,
CUP1296,10,"STAFF POLO, MEN'S","LG, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,LG,,,5/19/16,Donations,,,
CUP1297,7,"STAFF POLO, MEN'S","XL, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,XL,,,2/9/15,Donations,,,
CUP1299,3,"STAFF POLO, LADIES","SM, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,SM,,,11/7/13,Donations,,,
CUP1300,4,"STAFF POLO, LADIES","MD, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",BLACK,MD,,,8/16/16,Donations,,,
CUP1306,2,"STAFF POLO, MEN'S","XL, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,XL,,,8/16/16,Donations,,,
CUP1308,8,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,SM,,,7/18/13,Donations,,,
CUP1310,3,"STAFF POLO, LADIES","SM, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",WHITE,SM,,,9/14/16,Donations,,,
CUP1315,3,GOLF BAG,"BELDING, FEDEXCUP/THE FIRST TEE",,,,,3/6/14,Miscellaneous,Untitled_files/fullsize/302.jpg,,
CUP1322,15,STASH TRAY,GIFT WRAPPED,BLACK,,,,1/11/12,Donations,Untitled_files/fullsize/851.jpg,,
CUP1325,20,GIFT BAG,"10" X 8", BLACK, GLOSSY WITH FEDEXCUP LOGO""0" X 8", BLACK, GLOSSY WITH FEDEXCUP LO""" X 8", BLACK, GLOSSY WITH FEDEXCUP L"" X 8", BLACK, GLOSSY WITH FEDEXCUP L""X 8", BLACK, GLOSSY WITH FEDEXC"" 8", BLACK, GLOSSY WITH FED""8", BLACK, GLOSSY WITH F""", BLACK, GLOSSY WITH "", BLACK, GLOSSY WITH ",BLACK,"10" X 8"""0" X """ X"" X",,,7/12/10,Miscellaneous,Untitled_files/fullsize/212.jpg,,
CUP1326,19,GIFT BAG,"10" X 8", BLACK, GLOSSY""0" X 8", BLACK, GLOS""" X 8", BLACK, GLO"" X 8", BLACK, GLO""X 8", BLACK,"" 8", BLA""8", B""", "", ",BLACK,"10" X 8"""0" X """ X"" X",,,7/12/10,Miscellaneous,Untitled_files/fullsize/247.jpg,,
CUP1328,"7,954",PLASTIC BALL SPOTTER,"BLACK, FEDEXCUP",BLACK,,,,7/5/13,Hospitality Supplies,Untitled_files/fullsize/135.jpg,,
CUP1329,10,FISH BOWL,"ROUND, 10 3/4" X 9 1/2" WITH LID""OUND, 10 3/4" X 9 ""UND, ",,,,,8/21/14,Hospitality Supplies,Untitled_files/fullsize/205.jpg,,
CUP1330,27,PUTTING CUP/COASTER,"WHITE, FEDEXCUP",WHITE,,,,8/12/10,Donations,Untitled_files/fullsize/426.jpg,,
CUP1333,7,TABLECLOTH,"24" X 48", BLACK, SPANDEX""4" X 48", BLACK, SPAND""" X 48", BLACK, SPAN"" X 48", BLACK, SPAN""X 48", BLACK,"" 48", BL""48",""8",BLACK,"24" x 48"""4" x 4""" x "" x ",,,3/2/11,Hospitality Supplies,Untitled_files/fullsize/330.jpg,,
CUP1334,19,TABLECLOTH,"30", BLACK, ROUND, SPANDEX""0", BLACK, ROUND, SPAND""", BLACK, ROUND, SPAN"", BLACK, ROUND, SPAN",BLACK,"30"""",,,5/16/16,Hospitality Supplies,Untitled_files/fullsize/318.jpg,,
CUP1335,50,CHAIR COVER,"BLACK, SPANDEX",BLACK,,,,7/12/10,Hospitality Supplies,Untitled_files/fullsize/325.jpg,,
CUP1337,9,"POLO, MEN'S","MD, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,MD,,,3/27/15,Donations,,,
CUP1338,19,"POLO, MEN'S","LG, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,LG,,,6/26/13,Donations,,,
CUP1339,19,"POLO, MEN'S","XL, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,XL,,,1/18/12,Donations,,,
CUP1340,4,"POLO, MEN'S","2XL, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,2XL,,,5/19/15,Donations,,,
CUP1355,3,"POLO, LADIES","XL, OLYMPIC BLUE, CALLAWAY DRY SPORT, FEDEXCUP",OLYMPIC BLUE,XL,,,3/26/08,Donations,Untitled_files/fullsize/439.jpg,,
CUP1365,20,"POLO, MEN'S","LG, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",BLUE STRIPE,LG,,,8/9/16,Donations,,,
CUP1366,7,"POLO, MEN'S","XL, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",BLUE STRIPE,XL,,,2/29/16,Donations,,,
CUP1367,11,"POLO, MEN'S","2XL, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",BLUE STRIPE,2XL,,,5/19/15,Donations,,,
CUP1382,4,"WINDSHIRT, MEN'S","XL, BLACK, SUN MOUNTAIN, FEDEXCUP/PGA TOUR",BLACK,XL,,,5/19/16,Donations,,,
CUP1383,20,"WINDSHIRT, MEN'S","2XL, BLACK, SUN MOUNTAIN, FEDEXCUP/PGA TOUR",BLACK,2XL,,,3/22/13,Donations,,,
CUP1400,79,BEVERAGE NAPKINS,"200 PACK, WHITE, FEDEXCUP/WE UNDERSTAND",WHITE,200 PACK,,,6/28/16,Hospitality Supplies,Untitled_files/fullsize/014b.jpg,,
CUP1401,11,GOLF GLOBE GAME,WITH FEDEXCUP BALL,,,,,2/10/16,Hospitality Supplies,Untitled_files/fullsize/314.jpg,,
CUP1402,37,"T-SHIRT, THE FIRST TEE","MD, WHITE, FEDEXCUP",WHITE,MD,,,12/20/10,Donations,,,
CUP1403,5,"T-SHIRT, THE FIRST TEE","LG, WHITE, FEDEXCUP",WHITE,LG,,,6/9/10,Donations,,,
CUP1404,44,"T-SHIRT, THE FIRST TEE","XL, WHITE, FEDEXCUP",WHITE,XL,,,9/24/08,Donations,,,
CUP1406,1,"STAFF ZR JACKET, LADIES","SM, BLACK, ZERO RESTRICTION",BLACK,SM,,,7/12/10,FESJC,Untitled_files/fullsize/124.jpg,,
CUP1410,520,PHOTO HOLDER,"WHITE, FEDEXCUP",WHITE,,,,11/20/14,Hospitality Supplies,Untitled_files/fullsize/147.jpg,,
CUP1418,1,"T-SHIRT, REEBOK PLAY DRY, MEN'S","FEDEX CUP ON SLEEVE, TROPHY IMAGE ON LEFT CHEST",SILVER GRAY,MD,,,9/25/14,Donations,Untitled_files/fullsize/407.jpg,,
CUP1428,3,UMBRELLA,PURPLE/WHITE,,,,,1/31/13,Hospitality Supplies,Untitled_files/fullsize/858.jpg,,
CUP1429,62,BADGE HOLDER,BLANK,,"4 1/2" X 8""" 1/2"""",,,4/15/16,Credentials,Untitled_files/fullsize/132.jpg,,
CUP1443,42,PEDOMETER,"IN GIFT TIN, PGA/FEDEXCUP",,,,,9/13/13,Donations,Untitled_files/fullsize/425.jpg,,
CUP1452,10,"TOWEL, WORKOUT","PURPLE, FEDEXCUP/TROPHY ICON",PURPLE,"12" X 45"""2" X 4""" X "" X ",,,2/8/16,Gift Bags,,,
CUP1465,5,GOLF CLUB SHIPPING CASE,HARD,BLACK,,,,8/27/13,Golf Balls,Untitled_files/fullsize/875.jpg,,
CUP1469,13,"WATCH, LADIES","CALLAWAY STAINLESS, FEDEXCUP ON BACK",WHITE,,,,10/11/12,Donations,Untitled_files/fullsize/847.jpg,,
CUP1485,7,APRON,WITH FEDEXCUP IN WHITE,BLUE,,,,10/11/13,Hospitality Supplies,Untitled_files/fullsize/172.jpg,,
CUP1486,13,APRON,WITH FEDEXCUP IN WHITE,HOT PINK,,,,9/25/14,Hospitality Supplies,Untitled_files/fullsize/175.jpg,,
CUP1487,14,APRON,WITH FEDEXCUP IN WHITE,ROYAL,,,,9/17/13,Hospitality Supplies,Untitled_files/fullsize/170.jpg,,
CUP1488,8,APRON,WITH FEDEXCUP IN WHITE,ORANGE,,,,9/25/14,Hospitality Supplies,Untitled_files/fullsize/174.jpg,,
CUP1489,8,APRON,WITH FEDEXCUP IN WHITE,PURPLE,,,,10/22/12,Hospitality Supplies,Untitled_files/fullsize/176.jpg,,
CUP1490,5,APRON,WITH FEDEXCUP IN WHITE,RED,,,,10/3/11,Hospitality Supplies,Untitled_files/fullsize/173.jpg,,
CUP1491,18,APRON,WITH FEDEXCUP IN WHITE,GREEN,,,,9/25/14,Hospitality Supplies,Untitled_files/fullsize/171.jpg,,
CUP1501,9,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",BLACK,SM,,,2/10/11,Staff Apparel,,,
CUP1502,2,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",BLACK,MD,,,1/18/11,Staff Apparel,,,
CUP1503,8,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",BLACK,LG,,,6/21/11,Staff Apparel,,,
CUP1504,6,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",BLACK,XL,,,4/19/12,Staff Apparel,,,
CUP1511,1,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",BLACK,SM,,,10/22/12,Donations,,,
CUP1514,21,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",BLACK,XL,,,8/16/16,Donations,,,
CUP1515,9,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",BLACK,2XL,,,5/28/14,Donations,,,
CUP1524,23,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",WHITE,XL,,,3/28/13,Donations,,,
CUP1525,2,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",WHITE,2XL,,,5/19/15,Donations,,,
CUP1533,1,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",BLACK,LG,,,9/5/13,Donations,,,
CUP1541,3,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",WHITE,SM,,,7/12/13,Donations,,,
CUP1543,4,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",WHITE,LG,,,7/12/13,Donations,,,
CUP1548,4,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",WHITE,2XL,,,6/11/15,Donations,,,
CUP1550,137,FLASH DRIVE,"2GB, CREDIT CARD STYLE, FEDEXCUP",WHITE,2GB,,,9/25/14,Donations,Untitled_files/fullsize/861.jpg,,
CUP1551,90,TUMBLER,"14 OZ, FEDEXCUP",PURPLE/SILVER,,,,10/14/16,Donations,Untitled_files/fullsize/863.jpg,,
CUP1552,60,TUMBLER,"14 OZ, FEDEXCUP",WHITE/SILVER,,,,9/30/16,Donations,Untitled_files/fullsize/864.jpg,,
CUP1583,8,"T-SHIRT, YOUTH","FEDEXCUP/AUDUBON INT'L/THE FIRST TEE/FEDEXCUP FORE!EVER, 2010",WHITE,LG,,,7/5/13,Donations,,,
CUP1585,"6,276",PONCHO,FEDEXCUP IN PURPLE,WHITE,,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/019.jpg,,
CUP1587,54,WHIP TRAINER,ORANGE,ORANGE,,,,7/9/13,Donations,Untitled_files/fullsize/848.jpg,,
CUP1588,41,COOLER,"BLACK/BLUE, FEDEXCUP",BLACK/BLUE,,,,4/20/15,Donations,Untitled_files/fullsize/416.jpg,,
CUP1589,56,"SUNGLASSES, LADIES","CRYSTAL GRAY FRAME, CAPTIVA, IN HARD SHELL CASE",CRYSTAL GRAY,,,,9/17/15,Donations,Untitled_files/fullsize/853.jpg,,
CUP1590,52,"SUNGLASSES, LADIES","SHINY DARK GOLD FRAME, CAPTIVA, IN HARD SHELL CASE",DARK GOLD,,,,5/17/12,Donations,Untitled_files/fullsize/856.jpg,,
CUP1591,56,"SUNGLASSES, LADIES","BLACKBERRY FRAME, CAPTIVA, IN HARD SHELL CASE",BLACKBERRY,,,,11/30/16,Donations,Untitled_files/fullsize/852.jpg,,
CUP1592,126,"SUNGLASSES, MENS","BLACK FRAME, HUNTER MAHAN, IN HARD SHELL CASE",BLACK,,,,10/31/16,Donations,Untitled_files/fullsize/857.jpg,,
CUP1593,"3,769",WRISTBAND,PURPLE CLOTH - FEDEXCUP,PURPLE,,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/020.jpg,,
CUP1594,"3,136",WRISTBAND,ORANGE CLOTH - FEDEXCUP,ORANGE,,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/137a.jpg,,
CUP1595,"4,525",WRISTBAND,GREEN CLOTH - FEDEXCUP,GREEN,,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/136a.jpg,,
CUP1596,"3,938",WRISTBAND,BLACK CLOTH - FEDEXCUP,BLACK,,,,12/28/16,Hospitality Supplies,Untitled_files/fullsize/209b.jpg,,
CUP1602,1,RAIN JACKET,"GREG NORMAN, TOUR, FEDEXCUP",BLACK,MD,,,9/25/14,Donations,,,
CUP1604,10,RAIN JACKET,"GREG NORMAN, TOUR, FEDEXCUP",BLACK,XL,,,1/14/15,Donations,,,
CUP1605,6,RAIN JACKET,"GREG NORMAN, TOUR, FEDEXCUP",BLACK,2XL,,,5/19/15,Donations,,,
CUP1612,7,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",BLACK,MD,,,12/11/14,Donations,,,
CUP1613,19,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",BLACK,LG,,,9/13/13,Donations,,,
CUP1614,24,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",BLACK,XL,,,6/16/10,Donations,,,
CUP1615,12,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",BLACK,2XL,,,6/16/10,Donations,,,
CUP1622,6,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",COBALT,MD,,,12/11/14,Donations,,,
CUP1623,21,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",COBALT,LG,,,9/13/13,Donations,,,
CUP1624,24,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",COBALT,XL,,,6/16/10,Donations,,,
CUP1625,12,"SHIRT, LONG SLEEVE","MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",COBALT,2XL,,,6/16/10,Donations,,,
CUP1632,4,POLO,"GREG NORMAN, FEDEXCUP",BLACK,MD,,,2/12/16,Donations,,,
CUP1633,19,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",BLACK,LG,,,1/31/14,Donations,,,
CUP1634,15,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",BLACK,XL,,,4/20/15,Donations,,,
CUP1635,11,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",BLACK,2XL,,,4/17/14,Donations,,,
CUP1642,8,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",FROST,MD,,,2/8/16,Donations,,,
CUP1643,13,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",FROST,LG,,,8/9/16,Donations,,,
CUP1644,29,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",FROST,XL,,,1/14/15,Donations,,,
CUP1645,921,POLO,"MICRO GINGHAM WOVEN, GREG NORMAN, FEDEXCUP",FROST,2XL,,,5/19/15,Donations,,,
CUP1653,27,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",CARDINAL,LG,,,6/26/13,Donations,,,
CUP1654,10,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",CARDINAL,XL,,,3/6/12,Donations,,,
CUP1655,11,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",CARDINAL,2XL,,,4/17/14,Donations,,,
CUP1662,28,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",YELLOW,MD,,,2/8/16,Donations,,,
CUP1663,28,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",YELLOW,LG,,,11/10/11,Donations,,,
CUP1664,13,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",YELLOW,XL,,,6/29/12,Donations,,,
CUP1665,1,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",YELLOW,2XL,,,9/3/10,Donations,,,
CUP1673,28,POLO,"STRIPED, GREG NORMAN, FEDEXCUP",WHITE,LG,,,9/5/13,Donations,,,
CUP1674,5,POLO,"STRIPED, GREG NORMAN, FEDEXCUP",WHITE,XL,,,3/6/12,Donations,,,
CUP1684,74,POLO,"STRIPED, GREG NORMAN, FEDEXCUP",NAVY,XL,,,2/8/13,Donations,,,
CUP1690,26,TOTE,"BOAT GROMMET, PGA TOUR/FEDEX",BLACK,,,,10/24/13,Hospitality Supplies,Untitled_files/fullsize/859.jpg,,
CUP1692,37,UMBRELLA,"BLACK, FEDEXCUP, FULL SIZE",BLACK,FULL SIZE,,,11/30/16,Hospitality Supplies,Untitled_files/fullsize/873.jpg,,
CUP1693,9,PIN FLAG,"TROPHY ICON, FOR AUTOGRAPHS",,,,,6/23/14,Miscellaneous,Untitled_files/fullsize/335.jpg,,
CUP1694,"2,117",TICKET HOLDER,"TWO PART, 4 1/2" X 9", BLANK""WO PART, 4 1",,"4 1/2" X 9""" 1/2"""",,,11/30/16,Credentials,Untitled_files/fullsize/259a.jpg,,
CUP1699,30,WHIP TRAINER,"GOLDEN MODEL, ORANGE",ORANGE,,,,7/22/10,Donations,Untitled_files/fullsize/849.jpg,,
CUP1733,2,TABLECLOTH,"FOR 4' TABLE, BLACK POLY POPLIN, FEDEX IN WHITE/ORANGE",BLACK,4',,,5/7/12,Hospitality Supplies,Untitled_files/fullsize/315.jpg,,
CUP1736,"1,062",SUNSCREEN PACKET,"SPF 15, FEDEXCUP",,,,,10/13/16,Hospitality Supplies,Untitled_files/fullsize/023.jpg,,
CUP1737,60,BAG,"FROSTED WITH HANDLES: FEDEX IN PURPLE: 18" X 24"""ROSTED",FROSTED W/FEDEX IN PURPLE,"18" x 24"""8" x 2""" x "" x ",,,2/6/13,Hospitality Supplies,Untitled_files/fullsize/226.jpg,,
CUP1738,"1,402",BAG,"FROSTED W/HANDLES: 16" X 12": FEDEX IN BLACK""ROSTED W/HANDLES: 16" ""O",FROSTED W/ BLK FEDEX,,,,3/28/13,Hospitality Supplies,Untitled_files/fullsize/149.jpg,,
CUP1740,2,PUTTER,"SCOTTY CAMERON: STIDIO SELECT 35"""",,"35"""",,,5/16/16,Local Market Golf Clubs,Untitled_files/fullsize/393a.jpg,,
CUP1742,28,CUP,BLACK: FESJC TWO COLOR LOGO,,,,,6/25/15,FESJC,Untitled_files/fullsize/358.jpg,,
CUP1744,39,GIFT SACK # 2,"INCLUDES COTTON CINCHBAG, STAINLESS TUMBLER, CAP, USB DRIVE, LIP BALM, EGRIP, AND TOWEL",,,,,7/19/16,Donations,Untitled_files/fullsize/422.jpg,,
CUP1774,1,GOLF CLUB,ADAMS HYBRIDS,,,,,6/20/16,Local Market Golf Clubs,Untitled_files/fullsize/548a.jpg,,
CUP1776,6,WINE STOPPER,ZIPPO: SILVER,SILVER,,,,9/25/14,Donations,Untitled_files/fullsize/418.jpg,,
CUP1777,1,PAINTING,5' X 7' : LUKE DONALD,,5' X 7',,,10/17/11,Miscellaneous,Untitled_files/fullsize/269.jpg,,
CUP1780,1,PAINTING,5' X 7' : JIM FURYK,,5' X 7',,,9/15/11,Miscellaneous,Untitled_files/fullsize/270.jpg,,
CUP1781,1,PAINTING,5' X 7' : ADAM SCOTT,,5' X 7',,,10/17/11,Miscellaneous,Untitled_files/fullsize/271.jpg,,
CUP1782,5,TERVIS TUMBLER,16 OZ WITH LID: FEDEXCUP,,16 OZ,,,4/20/15,Donations,Untitled_files/fullsize/430.jpg,,
CUP1783,1,PAINTING,CHARLEY HOFFMAN: 5' x 7',,5' x 7',,,9/15/11,Miscellaneous,Untitled_files/fullsize/272a.jpg,,
CUP1784,27,IPAD CASE,BARRINGTON LEATHER: FEDEXCUP,,,,,9/25/14,Donations,Untitled_files/fullsize/846.jpg,,
CUP1785,41,CAP,LADIES; IMPERIAL: WHITE WITH FEDEXCUP /TOUR CHAMPIONSHIP BY COCA-COLA: POLY/COTTON,WHITE,,,,9/9/14,Donations,Untitled_files/fullsize/399.jpg,,
CUP1788,35,BOTTLE HOLDERS,(FOR COCA-COLA BOTTLES): FEDEX TUBE,,,,,10/17/11,Miscellaneous,Untitled_files/fullsize/177.jpg,,
CUP1790,1,PAINTING,WEBB SIMPSON: 5' X 7',,5' X 7',,,10/17/11,Miscellaneous,Untitled_files/fullsize/273.jpg,,
CUP1791,1,PAINTING,HUNTER MAHAN: 5' X 7',,5' X 7',,,10/17/11,Miscellaneous,Untitled_files/fullsize/274.jpg,,
CUP1795,7,WRAP,PETER MILLAR: CASHMERE: BLACK,BLACK,,,,9/9/16,Donations,Untitled_files/fullsize/397.jpg,,
CUP1803,4,SWEATER,PETER MILLAR: CASHMERE: BLACK,BLACK,LG,,,1/31/14,Donations,,,
CUP1804,4,SWEATER,PETER MILLAR: CASHMERE: BLACK,BLACK,XL,,,11/4/13,Donations,,,
CUP1805,10,SWEATER,PETER MILLAR: CASHMERE: BLACK,BLACK,2XL,,,9/4/13,Donations,,,
